Episode,Step,Return,Algorithm
466,11,-11.0,PPO
467,16,-16.0,PPO
468,11,-11.0,PPO
469,8,-8.0,PPO
470,26,-26.0,PPO
471,23,-23.0,PPO
472,12,-12.0,PPO
473,13,-13.0,PPO
474,12,-12.0,PPO
475,11,-11.0,PPO
476,33,-33.0,PPO
477,10,-10.0,PPO
478,10,-10.0,PPO
479,8,-8.0,PPO
480,8,-8.0,PPO
481,11,-11.0,PPO
482,29,-29.0,PPO
483,23,-23.0,PPO
484,21,-21.0,PPO
485,18,-18.0,PPO
486,19,-19.0,PPO
487,27,-27.0,PPO
488,9,-9.0,PPO
489,20,-20.0,PPO
490,24,-24.0,PPO
491,17,-17.0,PPO
492,12,-12.0,PPO
493,15,-15.0,PPO
494,13,-13.0,PPO
495,25,-25.0,PPO
496,11,-11.0,PPO
497,11,-11.0,PPO
498,22,-22.0,PPO
499,8,-8.0,PPO
500,36,-36.0,PPO
501,9,-9.0,PPO
502,13,-13.0,PPO
503,13,-13.0,PPO
504,8,-8.0,PPO
505,20,-20.0,PPO
506,15,-15.0,PPO
507,18,-18.0,PPO
508,21,-21.0,PPO
509,10,-10.0,PPO
510,11,-11.0,PPO
511,10,-10.0,PPO
512,13,-13.0,PPO
513,16,-16.0,PPO
514,13,-13.0,PPO
515,9,-9.0,PPO
516,8,-8.0,PPO
517,11,-11.0,PPO
518,19,-19.0,PPO
519,10,-10.0,PPO
520,13,-13.0,PPO
521,23,-23.0,PPO
522,22,-22.0,PPO
523,16,-16.0,PPO
524,9,-9.0,PPO
525,14,-14.0,PPO
526,10,-10.0,PPO
527,9,-9.0,PPO
528,11,-11.0,PPO
529,16,-16.0,PPO
530,16,-16.0,PPO
531,12,-12.0,PPO
532,33,-33.0,PPO
533,10,-10.0,PPO
534,10,-10.0,PPO
535,11,-11.0,PPO
536,19,-19.0,PPO
537,16,-16.0,PPO
538,17,-17.0,PPO
539,8,-8.0,PPO
540,11,-11.0,PPO
541,12,-12.0,PPO
542,15,-15.0,PPO
543,12,-12.0,PPO
544,16,-16.0,PPO
545,10,-10.0,PPO
546,8,-8.0,PPO
547,16,-16.0,PPO
548,12,-12.0,PPO
549,17,-17.0,PPO
550,15,-15.0,PPO
551,17,-17.0,PPO
552,11,-11.0,PPO
553,13,-13.0,PPO
554,16,-16.0,PPO
555,8,-8.0,PPO
556,13,-13.0,PPO
557,19,-19.0,PPO
558,17,-17.0,PPO
559,16,-16.0,PPO
560,17,-17.0,PPO
561,9,-9.0,PPO
562,8,-8.0,PPO
563,20,-20.0,PPO
564,11,-11.0,PPO
565,14,-14.0,PPO
566,12,-12.0,PPO
567,11,-11.0,PPO
568,11,-11.0,PPO
569,19,-19.0,PPO
570,20,-20.0,PPO
571,15,-15.0,PPO
572,17,-17.0,PPO
573,11,-11.0,PPO
574,11,-11.0,PPO
575,10,-10.0,PPO
576,23,-23.0,PPO
577,10,-10.0,PPO
578,8,-8.0,PPO
579,10,-10.0,PPO
580,14,-14.0,PPO
581,11,-11.0,PPO
582,17,-17.0,PPO
583,8,-8.0,PPO
584,11,-11.0,PPO
585,14,-14.0,PPO
586,16,-16.0,PPO
587,11,-11.0,PPO
588,8,-8.0,PPO
589,13,-13.0,PPO
590,23,-23.0,PPO
591,8,-8.0,PPO
592,17,-17.0,PPO
593,13,-13.0,PPO
594,18,-18.0,PPO
595,24,-24.0,PPO
596,9,-9.0,PPO
597,14,-14.0,PPO
598,10,-10.0,PPO
599,10,-10.0,PPO
600,11,-11.0,PPO
601,16,-16.0,PPO
602,16,-16.0,PPO
603,14,-14.0,PPO
604,16,-16.0,PPO
605,12,-12.0,PPO
606,13,-13.0,PPO
607,11,-11.0,PPO
608,16,-16.0,PPO
609,16,-16.0,PPO
610,16,-16.0,PPO
611,12,-12.0,PPO
612,9,-9.0,PPO
613,11,-11.0,PPO
614,11,-11.0,PPO
615,21,-21.0,PPO
616,11,-11.0,PPO
617,11,-11.0,PPO
618,15,-15.0,PPO
619,17,-17.0,PPO
620,16,-16.0,PPO
621,10,-10.0,PPO
622,8,-8.0,PPO
623,27,-27.0,PPO
624,15,-15.0,PPO
625,10,-10.0,PPO
626,11,-11.0,PPO
627,16,-16.0,PPO
628,24,-24.0,PPO
629,11,-11.0,PPO
630,8,-8.0,PPO
631,16,-16.0,PPO
632,11,-11.0,PPO
633,11,-11.0,PPO
634,22,-22.0,PPO
635,22,-22.0,PPO
636,12,-12.0,PPO
637,12,-12.0,PPO
638,13,-13.0,PPO
639,18,-18.0,PPO
640,10,-10.0,PPO
641,38,-38.0,PPO
642,16,-16.0,PPO
643,8,-8.0,PPO
644,22,-22.0,PPO
645,9,-9.0,PPO
646,15,-15.0,PPO
647,10,-10.0,PPO
648,14,-14.0,PPO
649,13,-13.0,PPO
650,11,-11.0,PPO
651,16,-16.0,PPO
652,15,-15.0,PPO
653,13,-13.0,PPO
654,10,-10.0,PPO
655,15,-15.0,PPO
656,8,-8.0,PPO
657,17,-17.0,PPO
658,18,-18.0,PPO
659,12,-12.0,PPO
660,12,-12.0,PPO
661,16,-16.0,PPO
662,15,-15.0,PPO
663,8,-8.0,PPO
664,19,-19.0,PPO
665,10,-10.0,PPO
666,9,-9.0,PPO
667,12,-12.0,PPO
668,21,-21.0,PPO
669,9,-9.0,PPO
670,10,-10.0,PPO
671,15,-15.0,PPO
672,19,-19.0,PPO
673,11,-11.0,PPO
674,13,-13.0,PPO
675,11,-11.0,PPO
676,9,-9.0,PPO
677,8,-8.0,PPO
678,8,-8.0,PPO
679,8,-8.0,PPO
680,13,-13.0,PPO
681,10,-10.0,PPO
682,11,-11.0,PPO
683,13,-13.0,PPO
684,14,-14.0,PPO
685,21,-21.0,PPO
686,11,-11.0,PPO
687,19,-19.0,PPO
688,15,-15.0,PPO
689,12,-12.0,PPO
690,11,-11.0,PPO
691,17,-17.0,PPO
692,20,-20.0,PPO
693,15,-15.0,PPO
694,13,-13.0,PPO
695,11,-11.0,PPO
696,12,-12.0,PPO
697,18,-18.0,PPO
698,11,-11.0,PPO
699,13,-13.0,PPO
700,12,-12.0,PPO
701,14,-14.0,PPO
702,11,-11.0,PPO
703,11,-11.0,PPO
704,14,-14.0,PPO
705,15,-15.0,PPO
706,8,-8.0,PPO
707,16,-16.0,PPO
708,14,-14.0,PPO
709,13,-13.0,PPO
710,23,-23.0,PPO
711,14,-14.0,PPO
712,8,-8.0,PPO
713,8,-8.0,PPO
714,11,-11.0,PPO
715,14,-14.0,PPO
716,24,-24.0,PPO
717,10,-10.0,PPO
718,15,-15.0,PPO
719,13,-13.0,PPO
720,11,-11.0,PPO
721,29,-29.0,PPO
722,12,-12.0,PPO
723,24,-24.0,PPO
724,17,-17.0,PPO
725,12,-12.0,PPO
726,11,-11.0,PPO
727,12,-12.0,PPO
728,9,-9.0,PPO
729,8,-8.0,PPO
730,10,-10.0,PPO
731,11,-11.0,PPO
732,12,-12.0,PPO
733,13,-13.0,PPO
734,9,-9.0,PPO
735,20,-20.0,PPO
736,9,-9.0,PPO
737,10,-10.0,PPO
738,10,-10.0,PPO
739,14,-14.0,PPO
740,23,-23.0,PPO
741,10,-10.0,PPO
742,9,-9.0,PPO
743,16,-16.0,PPO
744,11,-11.0,PPO
745,10,-10.0,PPO
746,13,-13.0,PPO
747,16,-16.0,PPO
748,10,-10.0,PPO
749,12,-12.0,PPO
750,10,-10.0,PPO
751,15,-15.0,PPO
752,17,-17.0,PPO
753,18,-18.0,PPO
754,9,-9.0,PPO
755,12,-12.0,PPO
756,10,-10.0,PPO
757,14,-14.0,PPO
758,11,-11.0,PPO
759,8,-8.0,PPO
760,10,-10.0,PPO
761,8,-8.0,PPO
762,12,-12.0,PPO
763,15,-15.0,PPO
764,21,-21.0,PPO
765,11,-11.0,PPO
766,15,-15.0,PPO
767,10,-10.0,PPO
768,12,-12.0,PPO
769,21,-21.0,PPO
770,9,-9.0,PPO
771,11,-11.0,PPO
772,15,-15.0,PPO
773,11,-11.0,PPO
774,8,-8.0,PPO
775,21,-21.0,PPO
776,13,-13.0,PPO
777,17,-17.0,PPO
778,20,-20.0,PPO
779,11,-11.0,PPO
780,10,-10.0,PPO
781,14,-14.0,PPO
782,10,-10.0,PPO
783,14,-14.0,PPO
